# Итог проверки quality gate
QUALITY_GATE: PASS
# PASS = можно выпускать | FAIL = есть блокирующие проблемы
enforce: false
# true = quality gate реально валит сборку
report_file: docs/raw/alstyle_quality_gate.txt
# Куда записан этот отчёт
baseline_file: scripts/suppliers/alstyle/config/quality_baseline.yml
# Базовый файл для сравнения известных cosmetic-проблем
freeze_current_as_baseline: no
# yes = текущие cosmetic-хвосты сохранены как baseline-снимок
critical_count: 0
# Сколько найдено критичных проблем
cosmetic_total_count: 916
# Общее число некритичных проблем
cosmetic_offer_count: 916
# В скольких товарах есть cosmetic-проблемы
known_cosmetic_count: 0
# Сколько cosmetic-проблем уже известны по baseline
known_cosmetic_offer_count: 0
# В скольких товарах есть уже известные cosmetic-проблемы
new_cosmetic_count: 916
# Сколько найдено новых cosmetic-проблем
new_cosmetic_offer_count: 916
# В скольких товарах появились новые cosmetic-проблемы
max_cosmetic_offers: 5
# Допустимый максимум товаров с cosmetic-проблемами
max_cosmetic_issues: 5
# Допустимый максимум cosmetic-проблем всего

CRITICAL:
# Ошибок в этой секции нет

COSMETIC TOTAL:
AS152227 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152228 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152229 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15305 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15372 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15386 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164688 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164808 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164811 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164814 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164820 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164821 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164822 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164825 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164832 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164835 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164836 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164837 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164839 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164840 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164843 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164845 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164872 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164876 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164878 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164879 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164880 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164896 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164902 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164903 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164904 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164909 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164920 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164921 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164922 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167792 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167803 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167869 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169906 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169907 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169909 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169919 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169928 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS171507 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17252 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17254 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17261 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17262 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17263 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17264 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17266 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17440 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17488 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17545 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17548 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17550 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17561 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17602 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17603 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17604 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17877 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17878 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17880 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17883 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17885 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17886 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17887 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17888 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17889 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17893 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17897 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17900 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17905 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17918 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17921 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17929 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17931 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17933 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17935 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17966 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17967 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17968 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17984 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS18000 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS18051 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186790 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186800 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186806 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186826 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS188949 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19211 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19212 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192359 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192360 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192361 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192362 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192363 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192364 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192365 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192366 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192368 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
