# Итог проверки quality gate
QUALITY_GATE: PASS
# PASS = можно выпускать | FAIL = есть блокирующие проблемы
enforce: false
# true = quality gate реально валит сборку
report_file: docs/raw/alstyle_quality_gate.txt
# Куда записан этот отчёт
baseline_file: scripts/suppliers/alstyle/config/quality_baseline.yml
# Базовый файл для сравнения известных cosmetic-проблем
freeze_current_as_baseline: no
# yes = текущие cosmetic-хвосты сохранены как baseline-снимок
critical_count: 0
# Сколько найдено критичных проблем
cosmetic_total_count: 916
# Общее число некритичных проблем
cosmetic_offer_count: 916
# В скольких товарах есть cosmetic-проблемы
known_cosmetic_count: 0
# Сколько cosmetic-проблем уже известны по baseline
known_cosmetic_offer_count: 0
# В скольких товарах есть уже известные cosmetic-проблемы
new_cosmetic_count: 916
# Сколько найдено новых cosmetic-проблем
new_cosmetic_offer_count: 916
# В скольких товарах появились новые cosmetic-проблемы
max_cosmetic_offers: 5
# Допустимый максимум товаров с cosmetic-проблемами
max_cosmetic_issues: 5
# Допустимый максимум cosmetic-проблем всего

CRITICAL:
# Ошибок в этой секции нет

COSMETIC TOTAL:
AS117108 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS123233 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS123235 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS125856 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13736 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13738 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13739 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13740 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13744 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13745 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13746 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13747 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS13762 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142987 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142988 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142989 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142990 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142991 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142995 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142996 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS142998 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143017 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143020 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143069 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143070 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143071 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS143073 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS14528 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS147070 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS147071 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS147085 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS149940 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS150306 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152222 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152225 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152226 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152227 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152228 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS152229 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15305 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15372 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS15386 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164688 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164808 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164811 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164814 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164820 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164821 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164822 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164825 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164832 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164835 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164836 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164837 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164839 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164840 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164843 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164845 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164872 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164876 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164878 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164879 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164880 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164896 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164902 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164903 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164904 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164909 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164920 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164921 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS164922 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167792 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167803 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS167869 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169906 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169907 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169909 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169919 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS169928 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS171507 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17252 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17254 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17261 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17262 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17263 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17264 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17266 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17440 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17488 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17545 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17548 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17550 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17561 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17602 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17603 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17604 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17877 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17878 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17880 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17883 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17885 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17886 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17887 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17888 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17889 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17893 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17897 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17900 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17905 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17918 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17921 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17929 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17931 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17933 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17935 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17966 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17967 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17968 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS17984 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS18000 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS18051 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186790 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186800 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186806 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS186826 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS188949 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19211 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19212 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192359 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192360 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192361 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192362 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192363 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192364 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192365 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192366 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192368 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192369 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192370 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS192608 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19268 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19291 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19293 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19444 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19569 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS19570 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200573 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200574 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200577 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200578 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200579 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200585 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200589 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS200595 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS20227 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS20228 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS20229 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS20230 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS20232 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220708 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220735 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220763 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220875 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220876 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220927 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS220934 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS221005 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS22314 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS22496 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS22497 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS22498 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS22499 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS23630 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS23633 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS23635 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS24591 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS246422 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS246430 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248508 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248735 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248739 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248740 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248755 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248762 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248763 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248764 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248765 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248827 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248829 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS248837 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS249215 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS253955 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS254272 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS254355 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS254361 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS255012 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS255883 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS255893 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS256213 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257301 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257302 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257303 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257304 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257305 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257325 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257342 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257444 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257445 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257446 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS257447 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS258549 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS258979 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS259644 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS259741 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS260196 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261526 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261527 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261661 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261663 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261664 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261665 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS261816 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS264361 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS265376 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS265377 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS265378 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS265379 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS265468 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
AS26550 | tech_block_leak_in_body | В обычный body протёк техблок 'Характеристики' | В обычный body протёк блок 'Характеристики'
